id,country_id,country_code,country_name,region_id,region_name,income_group_id,income_group_name,income_group_acronym,implementing_agency_id,implementing_agency_acronym,implementing_agency_name,implementing_subagency_id,subagency_acronym,subagency_name,channel_category_id,channel_category_name,channel_subcategory_name,channel_subcategory_id,channel_id,channel_name,dac_category_id,dac_category_name,dac_sector_code,dac_sector_name,dac_purpose_code,dac_purpose_name,funding_account_id,funding_account_name,assistance_category_id,assistance_category_name,activity_id,activity_name,activity_project_number,activity_start_date,activity_end_date,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount,funding_agency_id,funding_agency_name,funding_agency_acronym,aid_type_group_id,aid_type_group_name,activity_description,USG_sector_id,USG_sector_name,submission_id
14663355,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,7,DOD,Department of Defense,16,DSCA,Defense Security Cooperation Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,11x1082,Foreign Military Financing Program,2,Military,25271,"DOD - Foreign Military Financing (FMF) Program, Payment Waived",NULL,,,2,Obligations,2000,2820000000,3846304161,7,Department of Defense,DOD,3,Project-Type,"The amount of credit extended to a foreign government or international organization in any fiscal year for the procurement of defense articles, defense services, and design and construction services.",3,Stabilization Operations and Security Sector Reform,27
14663450,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,7,DOD,Department of Defense,16,DSCA,Defense Security Cooperation Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,11x1082,Foreign Military Financing Program,2,Military,25271,"DOD - Foreign Military Financing (FMF) Program, Payment Waived",NULL,,,2,Obligations,2000,1300000000,1773118939,7,Department of Defense,DOD,3,Project-Type,"The amount of credit extended to a foreign government or international organization in any fiscal year for the procurement of defense articles, defense services, and design and construction services.",3,Stabilization Operations and Security Sector Reform,27
14663550,376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215810,USAID Country Program (ESF),UBJ00020,,,2,Obligations,2000,949056000,1294453206,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (ESF),25,Macroeconomic Foundation for Growth,999
14663582,170,COL,Colombia,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,2,STATE,Department of State,62,INL,International Narcotics and Law Enforcement Affairs,1,Government,Government - United States,1,1000004,U.S. Government - Department of State,3,Governance,151,Government and Civil Society,15130,Legal and judicial development,11x1022,International Narcotics Control and Law Enforcement,1,Economic,74896,International Narcotics & Law Enforcement: Country Program (Supplemental),NULL,,,2,Obligations,2000,838500000,1143661716,2,Department of State,STATE,3,Project-Type,Department of State's International Narcotics Control and Law Enforcement Program - Country Program (Supplemental),7,Rule of Law and Human Rights,58
14663612,1002,WLD,World,7,World,0,NULL,NULL,4,TREAS,Department of the Treasury,143,OIA,Office of International Affairs,7,Multilateral,Multilateral - World Bank Group,13,4000219,International Development Association,7,Other,998,Unallocated/ Unspecified,99810,Sectors not specified,11x0073,International Development Association,1,Economic,31926,"World Bank, International Development Association (IDA) - Deposit Basis",NULL,,,2,Obligations,2000,771289832,1051991238,4,Department of the Treasury,TREAS,2,Core contributions,World Bank's International Development Association (IDA) provides development financing on highly concessional terms and grant terms to the world's poorest nations with special emphasis on achieving sustained productivity growth and poverty reduction.,43,International Contributions,32
14663628,818,EGY,Egypt,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215810,USAID Country Program (ESF),UBJ00020,,,2,Obligations,2000,740723000,1010299985,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (ESF),25,Macroeconomic Foundation for Growth,999
14664139,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1093,Assistance for the Independent States of the Former Soviet Union,1,Economic,215821,USAID Country Program Carry in from prior FY (FSA),UBJ00031,,,2,Obligations,2000,237605000,324078404,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program Carry in from prior FY (FSA),25,Macroeconomic Foundation for Growth,999
14664237,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215805,USAID Adjustments (ESF),UBJ00015,,,2,Obligations,2000,211052200,287862041,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Adjustments (ESF),25,Macroeconomic Foundation for Growth,999
14664287,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215820,USAID Country Program Carry in from prior FY (ESF),UBJ00030,,,2,Obligations,2000,200778000,273848673,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program Carry in from prior FY (ESF),25,Macroeconomic Foundation for Growth,999
14664331,643,RUS,Russia,2,Europe and Eurasia,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1093,Assistance for the Independent States of the Former Soviet Union,1,Economic,215811,USAID Country Program (FSA),UBJ00021,,,2,Obligations,2000,193588000,264041961,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (FSA),25,Macroeconomic Foundation for Growth,999
